capital,investimentos,rendimentos,minimos,maximos
29250,10,{0.03;0.02;0.15;0.04;0.09;0.03;0.13;0.03;0.08;0.03},{0.0;0.04;0.0;0.03;0.09;0.08;0.08;0.02;0.01;0.01},{0.6;0.3;0.42;0.46;0.33;0.3;0.38;0.51;0.3;0.3}
11141,6,{0.04;0.05;0.05;0.04;0.09;0.01},{0.09;0.07;0.08;0.0;0.05;0.01},{0.3;0.3;0.42;0.3;0.3;0.45}
12255,2,{0.07;0.09},{0.01;0.2},{0.41;0.79}
29386,8,{0.02;0.08;0.06;0.1;0.07;0.15;0.08;0.06},{0.05;0.04;0.01;0.11;0.11;0.11;0.03;0.03},{0.51;0.55;0.42;0.51;0.5;0.3;0.55;0.3}
8153,10,{0.09;0.08;0.12;0.09;0.07;0.1;0.06;0.11;0.14;0.04},{0.01;0.03;0.03;0.08;0.05;0.08;0.07;0.02;0.01;0.0},{0.4;0.56;0.39;0.31;0.35;0.37;0.52;0.58;0.45;0.36}
5423,3,{0.1;0.12;0.08},{0.18;0.04;0.27},{0.57;0.32;0.31}
32353,9,{0.08;0.06;0.13;0.01;0.04;0.09;0.14;0.05;0.03},{0.08;0.06;0.06;0.05;0.07;0.08;0.09;0.02;0.09},{0.53;0.3;0.39;0.59;0.3;0.48;0.3;0.38;0.45}
3379,3,{0.03;0.05;0.05},{0.19;0.03;0.09},{0.3;0.34;0.56}
34515,6,{0.02;0.05;0.02;0.02;0.12;0.15},{0.08;0.14;0.01;0.11;0.13;0.08},{0.38;0.49;0.48;0.38;0.3;0.53}
1177,3,{0.1;0.13;0.09},{0.21;0.04;0.18},{0.57;0.3;0.33}
38758,9,{0.1;0.15;0.04;0.03;0.14;0.08;0.14;0.12;0.02},{0.05;0.09;0.09;0.01;0.01;0.04;0.02;0.05;0.07},{0.55;0.35;0.37;0.3;0.3;0.35;0.41;0.39;0.39}
17772,9,{0.09;0.14;0.09;0.07;0.09;0.11;0.08;0.06;0.04},{0.09;0.03;0.01;0.09;0.03;0.07;0.05;0.01;0.02},{0.46;0.58;0.56;0.46;0.5;0.32;0.51;0.59;0.57}
38234,8,{0.14;0.05;0.01;0.03;0.03;0.09;0.12;0.1},{0.05;0.08;0.03;0.0;0.05;0.08;0.09;0.07},{0.59;0.3;0.59;0.3;0.36;0.45;0.46;0.44}
14292,5,{0.13;0.11;0.05;0.05;0.01},{0.14;0.15;0.1;0.11;0.17},{0.37;0.5;0.43;0.43;0.3}
5194,2,{0.02;0.02},{0.07;0.12},{0.52;0.68}
20174,4,{0.04;0.1;0.08;0.08},{0.02;0.11;0.01;0.08},{0.49;0.37;0.51;0.52}
34208,2,{0.07;0.13},{0.15;0.08},{0.3;0.9}
13230,4,{0.08;0.02;0.07;0.1},{0.08;0.24;0.13;0.01},{0.42;0.37;0.54;0.3}
31500,9,{0.05;0.06;0.14;0.09;0.13;0.13;0.09;0.02;0.14},{0.03;0.0;0.01;0.06;0.08;0.05;0.06;0.08;0.05},{0.32;0.36;0.48;0.31;0.51;0.59;0.3;0.46;0.53}
8211,5,{0.11;0.05;0.05;0.11;0.11},{0.06;0.16;0.01;0.1;0.14},{0.46;0.58;0.33;0.59;0.56}
12083,10,{0.11;0.12;0.12;0.05;0.04;0.05;0.1;0.04;0.08;0.13},{0.03;0.0;0.08;0.07;0.03;0.09;0.03;0.03;0.03;0.07},{0.52;0.44;0.3;0.59;0.42;0.3;0.35;0.3;0.41;0.3}
6256,9,{0.04;0.04;0.04;0.14;0.04;0.02;0.02;0.11;0.02},{0.0;0.07;0.1;0.05;0.0;0.07;0.06;0.07;0.09},{0.3;0.49;0.3;0.51;0.57;0.46;0.37;0.3;0.36}
20669,10,{0.13;0.15;0.05;0.11;0.07;0.12;0.08;0.09;0.03;0.13},{0.02;0.01;0.05;0.05;0.06;0.06;0.08;0.03;0.01;0.01},{0.46;0.36;0.3;0.58;0.35;0.39;0.52;0.3;0.57;0.53}
21977,7,{0.12;0.06;0.08;0.1;0.04;0.06;0.07},{0.1;0.01;0.01;0.06;0.07;0.01;0.06},{0.3;0.54;0.4;0.34;0.3;0.3;0.31}
28795,4,{0.08;0.11;0.06;0.08},{0.07;0.01;0.02;0.22},{0.3;0.43;0.3;0.3}
6186,10,{0.01;0.06;0.11;0.03;0.07;0.13;0.09;0.11;0.12;0.13},{0.03;0.06;0.02;0.05;0.03;0.07;0.05;0.05;0.07;0.01},{0.38;0.3;0.38;0.54;0.45;0.3;0.52;0.39;0.45;0.3}
5885,7,{0.08;0.07;0.06;0.1;0.05;0.14;0.13},{0.07;0.06;0.01;0.02;0.03;0.02;0.09},{0.53;0.54;0.3;0.5;0.49;0.31;0.3}
12417,2,{0.08;0.03},{0.3;0.14},{0.39;0.81}
5214,6,{0.15;0.01;0.13;0.14;0.15;0.09},{0.08;0.04;0.06;0.06;0.01;0.03},{0.3;0.51;0.3;0.36;0.3;0.45}
4831,4,{0.06;0.13;0.03;0.07},{0.16;0.03;0.23;0.06},{0.53;0.3;0.57;0.3}
16718,4,{0.03;0.01;0.02;0.13},{0.18;0.2;0.19;0.15},{0.37;0.3;0.33;0.6}
19151,3,{0.03;0.11;0.09},{0.1;0.16;0.06},{0.47;0.41;0.32}
39800,5,{0.11;0.15;0.14;0.03;0.02},{0.16;0.15;0.02;0.13;0.13},{0.5;0.31;0.51;0.45;0.3}
11611,2,{0.07;0.07},{0.3;0.1},{0.39;0.81}
21333,8,{0.13;0.08;0.06;0.07;0.09;0.06;0.1;0.11},{0.0;0.05;0.01;0.04;0.06;0.03;0.03;0.08},{0.39;0.55;0.4;0.3;0.42;0.4;0.44;0.51}
7146,9,{0.12;0.13;0.06;0.13;0.07;0.14;0.12;0.15;0.01},{0.08;0.01;0.03;0.01;0.05;0.07;0.08;0.07;0.05},{0.59;0.32;0.35;0.33;0.49;0.3;0.59;0.37;0.58}
14345,4,{0.12;0.02;0.13;0.1},{0.04;0.1;0.23;0.1},{0.36;0.3;0.33;0.21}
22846,6,{0.13;0.05;0.09;0.09;0.08;0.12},{0.02;0.02;0.04;0.08;0.01;0.03},{0.36;0.33;0.3;0.57;0.3;0.45}
6794,6,{0.05;0.01;0.12;0.1;0.05;0.09},{0.08;0.01;0.12;0.15;0.08;0.11},{0.53;0.3;0.53;0.4;0.31;0.3}
15984,3,{0.03;0.1;0.07},{0.3;0.3;0.0},{0.3;0.44;0.46}
17003,6,{0.12;0.06;0.13;0.04;0.12;0.07},{0.05;0.08;0.12;0.14;0.16;0.13},{0.55;0.3;0.42;0.56;0.44;0.5}
7605,6,{0.1;0.02;0.04;0.07;0.12;0.04},{0.04;0.06;0.06;0.13;0.1;0.1},{0.31;0.43;0.3;0.42;0.42;0.3}
1688,10,{0.15;0.05;0.09;0.01;0.02;0.12;0.14;0.09;0.08;0.1},{0.09;0.04;0.08;0.05;0.05;0.0;0.08;0.01;0.06;0.0},{0.3;0.38;0.58;0.55;0.57;0.3;0.56;0.35;0.45;0.43}
35038,4,{0.13;0.12;0.1;0.05},{0.23;0.06;0.18;0.03},{0.33;0.43;0.3;0.3}
35817,8,{0.14;0.03;0.12;0.07;0.07;0.08;0.04;0.05},{0.05;0.09;0.05;0.09;0.09;0.07;0.07;0.06},{0.37;0.3;0.44;0.3;0.51;0.42;0.58;0.45}
30134,4,{0.12;0.02;0.08;0.07},{0.12;0.03;0.04;0.23},{0.34;0.58;0.35;0.53}
5202,7,{0.06;0.05;0.11;0.05;0.12;0.1;0.14},{0.11;0.13;0.04;0.02;0.01;0.07;0.0},{0.3;0.42;0.33;0.41;0.38;0.31;0.57}
20465,9,{0.08;0.09;0.04;0.07;0.09;0.03;0.08;0.07;0.13},{0.03;0.07;0.05;0.01;0.08;0.09;0.1;0.07;0.02},{0.59;0.6;0.53;0.53;0.34;0.53;0.3;0.36;0.34}
30805,10,{0.08;0.14;0.03;0.08;0.02;0.04;0.1;0.13;0.03;0.12},{0.02;0.03;0.01;0.09;0.01;0.08;0.04;0.06;0.06;0.07},{0.37;0.3;0.3;0.57;0.3;0.44;0.54;0.49;0.3;0.41}
18585,2,{0.01;0.09},{0.11;0.22},{0.53;0.67}
24260,7,{0.11;0.06;0.07;0.02;0.07;0.06;0.06},{0.03;0.06;0.12;0.03;0.08;0.09;0.13},{0.52;0.3;0.55;0.31;0.47;0.3;0.3}
4469,6,{0.09;0.09;0.13;0.02;0.11;0.08},{0.09;0.15;0.15;0.14;0.0;0.13},{0.3;0.46;0.43;0.37;0.53;0.3}
30824,9,{0.12;0.01;0.09;0.14;0.08;0.04;0.07;0.1;0.02},{0.04;0.07;0.09;0.1;0.05;0.07;0.07;0.02;0.02},{0.35;0.52;0.58;0.3;0.3;0.33;0.38;0.4;0.3}
15025,10,{0.02;0.14;0.15;0.06;0.1;0.05;0.06;0.03;0.05;0.04},{0.01;0.06;0.01;0.04;0.05;0.02;0.01;0.06;0.07;0.05},{0.3;0.54;0.51;0.59;0.36;0.49;0.43;0.54;0.37;0.32}
17100,2,{0.11;0.07},{0.3;0.01},{0.6;0.6}
16401,6,{0.07;0.06;0.1;0.01;0.05;0.04},{0.02;0.03;0.05;0.05;0.14;0.11},{0.41;0.3;0.56;0.46;0.36;0.55}
3159,9,{0.08;0.08;0.08;0.05;0.13;0.11;0.04;0.12;0.04},{0.03;0.1;0.09;0.09;0.07;0.01;0.06;0.06;0.09},{0.3;0.31;0.49;0.58;0.54;0.37;0.48;0.3;0.3}
20155,8,{0.12;0.09;0.14;0.07;0.06;0.09;0.02;0.12},{0.04;0.05;0.1;0.09;0.08;0.05;0.09;0.08},{0.3;0.3;0.5;0.41;0.42;0.37;0.3;0.42}
3879,9,{0.07;0.02;0.04;0.09;0.01;0.09;0.12;0.08;0.02},{0.09;0.03;0.08;0.07;0.03;0.03;0.07;0.05;0.03},{0.4;0.37;0.3;0.55;0.31;0.41;0.37;0.33;0.45}
35429,3,{0.09;0.07;0.08},{0.21;0.17;0.07},{0.5;0.3;0.4}
16216,2,{0.07;0.02},{0.19;0.3},{0.34;0.86}
18506,8,{0.08;0.06;0.11;0.03;0.01;0.04;0.02;0.07},{0.04;0.09;0.07;0.1;0.02;0.01;0.05;0.03},{0.39;0.3;0.38;0.42;0.35;0.57;0.48;0.3}
9918,5,{0.12;0.04;0.05;0.03;0.05},{0.17;0.0;0.15;0.17;0.18},{0.6;0.3;0.56;0.46;0.45}
2903,2,{0.08;0.14},{0.04;0.3},{0.44;0.76}
7033,5,{0.08;0.03;0.02;0.04;0.11},{0.04;0.02;0.01;0.18;0.06},{0.33;0.3;0.34;0.5;0.3}
36019,9,{0.09;0.11;0.09;0.06;0.13;0.03;0.14;0.11;0.09},{0.09;0.0;0.08;0.06;0.07;0.01;0.1;0.01;0.01},{0.38;0.34;0.41;0.54;0.46;0.39;0.3;0.3;0.33}
22109,9,{0.02;0.15;0.02;0.06;0.12;0.06;0.14;0.12;0.05},{0.02;0.08;0.0;0.1;0.06;0.01;0.01;0.08;0.01},{0.3;0.33;0.38;0.3;0.44;0.45;0.3;0.3;0.53}
36458,8,{0.12;0.04;0.07;0.09;0.09;0.08;0.14;0.05},{0.09;0.1;0.08;0.05;0.1;0.02;0.08;0.02},{0.3;0.5;0.3;0.57;0.54;0.59;0.34;0.3}
36698,9,{0.13;0.01;0.05;0.04;0.12;0.03;0.11;0.15;0.04},{0.07;0.07;0.03;0.06;0.06;0.09;0.09;0.0;0.07},{0.57;0.3;0.3;0.3;0.34;0.45;0.6;0.59;0.47}
31941,7,{0.11;0.06;0.05;0.11;0.05;0.09;0.13},{0.07;0.11;0.11;0.08;0.11;0.11;0.1},{0.52;0.3;0.3;0.46;0.56;0.47;0.46}
33138,10,{0.03;0.05;0.12;0.11;0.06;0.09;0.05;0.12;0.07;0.08},{0.06;0.06;0.01;0.07;0.07;0.01;0.09;0.07;0.03;0.09},{0.54;0.57;0.3;0.3;0.3;0.59;0.58;0.3;0.34;0.58}
32438,4,{0.14;0.06;0.08;0.03},{0.02;0.13;0.12;0.24},{0.3;0.3;0.4;0.57}
34893,5,{0.13;0.12;0.04;0.07;0.14},{0.16;0.13;0.04;0.11;0.11},{0.3;0.56;0.51;0.35;0.3}
2417,2,{0.12;0.14},{0.05;0.3},{0.3;0.9}
7686,4,{0.09;0.08;0.1;0.05},{0.04;0.03;0.01;0.08},{0.4;0.45;0.3;0.3}
31913,10,{0.14;0.02;0.14;0.04;0.03;0.15;0.02;0.13;0.11;0.07},{0.03;0.08;0.08;0.08;0.04;0.01;0.03;0.03;0.08;0.02},{0.3;0.31;0.3;0.3;0.41;0.3;0.3;0.38;0.3;0.3}
15683,4,{0.15;0.09;0.08;0.12},{0.09;0.09;0.24;0.14},{0.41;0.49;0.3;0.53}
25048,3,{0.11;0.03;0.11},{0.17;0.29;0.15},{0.3;0.56;0.34}
